ensembl_gene_id	chromosome_name	mgi_symbol	description	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000021765	13	Fst	follistatin [Source:MGI Symbol;Acc:MGI:95586]	-1.32960836845455	5.89578006213636	84.7039525102414	3.4655695564977e-20	1.03576288425794e-17
ENSMUSG00000030217	6	Art4	ADP-ribosyltransferase 4 [Source:MGI Symbol;Acc:MGI:1202710]	-2.00645569383939	4.6515742643	84.4953210443714	3.85125171195286e-20	1.12705276662087e-17
ENSMUSG00000046798	5	Cldn12	claudin 12 [Source:MGI Symbol;Acc:MGI:1929288]	-1.38568300460272	5.60824215985172	83.8688486997624	5.28710994927155e-20	1.51567415219219e-17
ENSMUSG00000024665	19	Fads2	fatty acid desaturase 2 [Source:MGI Symbol;Acc:MGI:1930079]	-1.68951110624739	6.05659552039631	83.8003886764893	5.47340485723099e-20	1.53769836059047e-17
ENSMUSG00000032018	9	Sc5d	sterol-C5-desaturase [Source:MGI Symbol;Acc:MGI:1353611]	-1.62480535755401	6.23157502033207	83.0013752095741	8.1996323199252e-20	2.2584359842743e-17
ENSMUSG00000048794	6	Cfap100	cilia and flagella associated protein 100 [Source:MGI Symbol;Acc:MGI:2141635]	-2.59817412047029	4.60128903704625	82.0041568992445	1.35800763050669e-19	3.66844868956298e-17
ENSMUSG00000033998	8	Kcnk1	potassium channel, subfamily K, member 1 [Source:MGI Symbol;Acc:MGI:109322]	-1.88579279283968	5.98142154701995	79.428343293863	5.00035951449344e-19	1.32528396415263e-16
ENSMUSG00000021036	12	Sptlc2	serine palmitoyltransferase, long chain base subunit 2 [Source:MGI Symbol;Acc:MGI:108074]	-1.23036604205201	7.26992045818338	79.3313544006694	5.25195649125198e-19	1.36618949690031e-16
ENSMUSG00000098659	3	1110015O18Rik	RIKEN cDNA 1110015O18 gene [Source:MGI Symbol;Acc:MGI:1915766]	-5.9435842627965	2.14004646542325	78.0128899614414	1.02370341227303e-18	2.61453851494532e-16
ENSMUSG00000028348	4	Murc	muscle-related coiled-coil protein [Source:MGI Symbol;Acc:MGI:1915266]	2.25716383751151	3.37528456855572	77.915263987583	1.07557006351906e-18	2.69795226468789e-16
ENSMUSG00000103181	3	A330069K06Rik	RIKEN cDNA A330069K06 gene [Source:MGI Symbol;Acc:MGI:2685464]	-2.62624546131421	3.67891853918028	77.601378631393	1.26082084604185e-18	3.10714919725437e-16
ENSMUSG00000027605	2	Acss2	acyl-CoA synthetase short-chain family member 2 [Source:MGI Symbol;Acc:MGI:1890410]	-1.81453042603908	5.02651751454584	76.8248691423389	1.8681031852069e-18	4.52435266251747e-16
ENSMUSG00000013698	1	Pea15a	phosphoprotein enriched in astrocytes 15A [Source:MGI Symbol;Acc:MGI:104799]	-1.33456730730342	9.83097860190915	76.7120202191277	1.97795805146671e-18	4.70921639812762e-16
ENSMUSG00000049281	9	Scn3b	sodium channel, voltage-gated, type III, beta [Source:MGI Symbol;Acc:MGI:1918882]	-1.92761458188158	5.91463359986503	74.7727044502968	5.28148837404138e-18	1.23648445316932e-15
ENSMUSG00000022246	15	Rai14	retinoic acid induced 14 [Source:MGI Symbol;Acc:MGI:1922896]	-1.1942048373432	7.0411137395584	74.7363683972853	5.37959398413275e-18	1.23880584746086e-15
ENSMUSG00000020917	11	Acly	ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]	-1.01064413607681	7.76198147690966	74.598191936785	5.76960225390131e-18	1.29400911617083e-15
ENSMUSG00000031349	X	Nsdhl	NAD(P) dependent steroid dehydrogenase-like [Source:MGI Symbol;Acc:MGI:1099438]	-1.33128477317966	6.91665918721721	74.586607386163	5.80355765065584e-18	1.29400911617083e-15
ENSMUSG00000033579	8	Fa2h	fatty acid 2-hydroxylase [Source:MGI Symbol;Acc:MGI:2443327]	-1.37554168168048	8.33111694688624	73.8246718593288	8.53728460871999e-18	1.85507004361033e-15
ENSMUSG00000073910	4	Mob3b	MOB kinase activator 3B [Source:MGI Symbol;Acc:MGI:2664539]	-1.66487172746976	5.72320320308409	73.8138983357358	8.58400746313598e-18	1.85507004361033e-15
ENSMUSG00000030865	7	Chp2	calcineurin-like EF hand protein 2 [Source:MGI Symbol;Acc:MGI:1917511]	-1.68696220173844	4.8594602217389	72.8495557404493	1.39919095335558e-17	2.97794474572513e-15
ENSMUSG00000032193	9	Ldlr	low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:96765]	-1.43751527871777	7.14938429081351	72.2725629645652	1.87435346144284e-17	3.9297079213265e-15
ENSMUSG00000022351	15	Sqle	squalene epoxidase [Source:MGI Symbol;Acc:MGI:109296]	-1.25074251234238	7.66272424597689	71.2757542694307	3.10629608250606e-17	6.41678545161215e-15
ENSMUSG00000074093	7	Svip	small VCP/p97-interacting protein [Source:MGI Symbol;Acc:MGI:1922994]	-1.3199883106119	6.67230846609443	71.0167033604375	3.54213319549204e-17	7.21106449232996e-15
ENSMUSG00000053198	7	Prx	periaxin [Source:MGI Symbol;Acc:MGI:108176]	-1.26322902490165	11.2338982106605	70.7777413760809	3.99822658716594e-17	8.02329840998856e-15
ENSMUSG00000045180	X	Shroom2	shroom family member 2 [Source:MGI Symbol;Acc:MGI:107194]	-1.04904834699499	7.44810933498274	70.7081104116082	4.14186227545612e-17	8.19447033568059e-15
ENSMUSG00000056569	1	Mpz	myelin protein zero [Source:MGI Symbol;Acc:MGI:103177]	-1.80782053609185	14.9687851982306	70.6664648881322	4.23022443505857e-17	8.25305036656497e-15
ENSMUSG00000021508	13	Cxcl14	chemokine (C-X-C motif) ligand 14 [Source:MGI Symbol;Acc:MGI:1888514]	1.32132211110538	5.22070369154864	69.0506816043423	9.5965363471909e-17	1.84661022012316e-14
ENSMUSG00000010663	19	Fads1	fatty acid desaturase 1 [Source:MGI Symbol;Acc:MGI:1923517]	-1.09227390958546	7.83107197456456	68.9098837788767	1.03066989467047e-16	1.95646216357244e-14
ENSMUSG00000000184	6	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	1.29167081328904	7.0174197156697	68.7534157746576	1.11577443253802e-16	2.08977112718154e-14
ENSMUSG00000057614	5	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1 [Source:MGI Symbol;Acc:MGI:95771]	-1.13760446975041	7.55101539569491	68.1972961041409	1.47928452065713e-16	2.73414600811456e-14
ENSMUSG00000033948	4	Zswim5	zinc finger SWIM-type containing 5 [Source:MGI Symbol;Acc:MGI:1921714]	-2.53094962876795	3.79988262170389	66.856971243613	2.91938023113294e-16	5.32578365022394e-14
ENSMUSG00000042444	9	Fam63b	family with sequence similarity 63, member B [Source:MGI Symbol;Acc:MGI:2443086]	-1.10557461193849	6.36010046956572	66.7428401870846	3.09338914125009e-16	5.57087657271026e-14
ENSMUSG00000037754	2	Ppp1r16b	protein phosphatase 1, regulatory (inhibitor) subunit 16B [Source:MGI Symbol;Acc:MGI:2151841]	-1.92884502496551	5.16012231137382	65.3912062722143	6.14123166831677e-16	1.0919731803145e-13
ENSMUSG00000053626	8	Tll1	tolloid-like [Source:MGI Symbol;Acc:MGI:106923]	-2.22420437295303	3.58192949825626	64.846718417865	8.0956789943738e-16	1.42150003542461e-13
ENSMUSG00000022505	16	Emp2	epithelial membrane protein 2 [Source:MGI Symbol;Acc:MGI:1098726]	-1.20655749626463	8.05761304088865	64.80248267541	8.27947642644502e-16	1.43582475755893e-13
ENSMUSG00000036943	9	Rab8b	RAB8B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2442982]	-1.02048291878152	7.41990467772501	64.6108725008045	9.12504513756429e-16	1.55568966828223e-13
ENSMUSG00000040675	10	Mthfd1l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:MGI Symbol;Acc:MGI:1924836]	1.12183272096581	5.72839963692438	64.5964338086062	9.19215793175943e-16	1.55568966828223e-13
ENSMUSG00000091243	16	Vgll3	vestigial like family member 3 [Source:MGI Symbol;Acc:MGI:1920819]	-1.25220876725441	6.89699904927161	64.2853055371728	1.07645596970197e-15	1.80011631028615e-13
ENSMUSG00000040694	17	Apobec2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2 [Source:MGI Symbol;Acc:MGI:1343178]	2.18867196350596	4.73013633477928	63.7123584513037	1.43978511575518e-15	2.37937194364859e-13
ENSMUSG00000060675	19	Pla2g16	phospholipase A2, group XVI [Source:MGI Symbol;Acc:MGI:2179715]	-1.18701036086717	8.23233302149976	62.8481728862625	2.23270644009142e-15	3.64684039115863e-13
ENSMUSG00000056870	1	Gulp1	GULP, engulfment adaptor PTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1920407]	-1.14248573072997	7.59765170901684	62.3233504390072	2.91448807756474e-15	4.70572575006343e-13
ENSMUSG00000045319	2	Proser2	proline and serine rich 2 [Source:MGI Symbol;Acc:MGI:2442238]	1.80771507487041	4.11276939107604	61.646066071329	4.11087624120538e-15	6.55471035581571e-13
ENSMUSG00000031644	8	Nek1	NIMA (never in mitosis gene a)-related expressed kinase 1 [Source:MGI Symbol;Acc:MGI:97303]	-1.77670195431635	5.35294925254134	61.626001502399	4.15298086187512e-15	6.55471035581571e-13
ENSMUSG00000041939	5	Mvk	mevalonate kinase [Source:MGI Symbol;Acc:MGI:107624]	-1.05385965188599	6.45110568839845	61.1981984967673	5.16087304529189e-15	8.0549759630239e-13
ENSMUSG00000043924	4	Ncmap	noncompact myelin associated protein [Source:MGI Symbol;Acc:MGI:2444888]	-1.61302330553325	8.52114696418306	61.0074335872843	5.68597080302447e-15	8.7770144912181e-13
ENSMUSG00000023915	17	Tnfrsf21	tumor necrosis factor receptor superfamily, member 21 [Source:MGI Symbol;Acc:MGI:2151075]	1.20673299806339	6.99980240612531	60.4023289789114	7.7321433230668e-15	1.18058062238173e-12
ENSMUSG00000026730	2	Pter	phosphotriesterase related [Source:MGI Symbol;Acc:MGI:107372]	-1.31658587885208	6.82934325939144	59.9939784084152	9.51480295955258e-15	1.43714448572941e-12
ENSMUSG00000037071	19	Scd1	stearoyl-Coenzyme A desaturase 1 [Source:MGI Symbol;Acc:MGI:98239]	-1.57086061010652	8.57307690769902	59.9501819727357	9.72890041375538e-15	1.453849618213e-12
ENSMUSG00000019978	10	Epb41l2	erythrocyte membrane protein band 4.1 like 2 [Source:MGI Symbol;Acc:MGI:103009]	-1.04336951918303	9.65226382922453	59.1571723708704	1.45567800830398e-14	2.15241147185747e-12
ENSMUSG00000025137	11	Pcyt2	phosphate cytidylyltransferase 2, ethanolamine [Source:MGI Symbol;Acc:MGI:1915921]	-1.00214989264684	7.1279318034403	58.6933453353692	1.84263674292092e-14	2.69619982581356e-12
ENSMUSG00000052374	13	Actn2	actinin alpha 2 [Source:MGI Symbol;Acc:MGI:109192]	2.66567010885538	5.39000731833634	58.3292753721221	2.21720060132149e-14	3.21082647904774e-12
ENSMUSG00000040297	1	Suco	SUN domain containing ossification factor [Source:MGI Symbol;Acc:MGI:2138346]	-1.13703230514974	6.26145509159559	58.2594147279062	2.2973492313353e-14	3.29294537271091e-12
ENSMUSG00000024378	18	Stard4	StAR-related lipid transfer (START) domain containing 4 [Source:MGI Symbol;Acc:MGI:2156764]	-1.04398920513815	6.2676463460865	58.2382975754829	2.32214202158656e-14	3.29486151285115e-12
ENSMUSG00000087143	13	A830082K12Rik	RIKEN cDNA A830082K12 gene [Source:MGI Symbol;Acc:MGI:2443527]	-1.51232771353061	4.66122187306586	58.0203876390335	2.59415235569006e-14	3.64400581403783e-12
ENSMUSG00000026163	1	Sphkap	SPHK1 interactor, AKAP domain containing [Source:MGI Symbol;Acc:MGI:1924879]	-2.00291993498562	4.82210694042052	56.9441579561913	4.48364257054407e-14	6.23581457311213e-12
ENSMUSG00000041220	3	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast) [Source:MGI Symbol;Acc:MGI:2156528]	-1.34771877360839	8.1822490618692	56.7555697822415	4.934911477132e-14	6.79614720777188e-12
ENSMUSG00000015149	7	Sirt2	sirtuin 2 [Source:MGI Symbol;Acc:MGI:1927664]	-1.01619986126316	8.23284987398585	56.6306975488468	5.25845018803736e-14	7.17140289236512e-12
ENSMUSG00000018846	11	Pank3	pantothenate kinase 3 [Source:MGI Symbol;Acc:MGI:2387464]	-1.10417006912107	7.82121581793086	56.4220313942116	5.84715363453907e-14	7.84535706389175e-12
ENSMUSG00000022519	16	Srl	sarcalumenin [Source:MGI Symbol;Acc:MGI:2146620]	1.76380393087886	5.5366548979434	56.4162636403362	5.86433040299447e-14	7.84535706389175e-12
ENSMUSG00000032517	9	Mobp	myelin-associated oligodendrocytic basic protein [Source:MGI Symbol;Acc:MGI:108511]	-5.72250729130711	1.94739221859228	55.9543797972083	7.41723127754349e-14	9.82923092034466e-12
ENSMUSG00000031596	8	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:MGI Symbol;Acc:MGI:99828]	-1.36813384851075	5.46207134724427	55.7988514729657	8.02784285963088e-14	1.05389821167509e-11
ENSMUSG00000020908	11	Myh3	myosin, heavy polypeptide 3, skeletal muscle, embryonic [Source:MGI Symbol;Acc:MGI:1339709]	2.49988822617195	4.00070433330289	55.4943345885827	9.37287576596313e-14	1.21908135078226e-11
ENSMUSG00000020264	11	Slc36a2	solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430]	-1.39663101953791	6.962302828202	55.3208905414279	1.02374766549511e-13	1.31931958323026e-11
ENSMUSG00000020354	11	Sgcd	sarcoglycan, delta (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:1346525]	-1.06005676635826	6.47650931072067	55.2678116491633	1.05176901016183e-13	1.34310902597665e-11
ENSMUSG00000034471	11	Caskin2	CASK-interacting protein 2 [Source:MGI Symbol;Acc:MGI:2157062]	-1.23953198361777	6.89871424809225	54.8496235574585	1.30113683772293e-13	1.64658280716162e-11
ENSMUSG00000028631	4	Kcnq4	potassium voltage-gated channel, subfamily Q, member 4 [Source:MGI Symbol;Acc:MGI:1926803]	1.35646930811589	4.79491346009374	54.586510956133	1.48753168346636e-13	1.86565692479036e-11
ENSMUSG00000006782	11	Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]	-0.859427175998495	11.2891233725649	54.2886258175192	1.7310088676447e-13	2.15181252777037e-11
ENSMUSG00000025203	19	Scd2	stearoyl-Coenzyme A desaturase 2 [Source:MGI Symbol;Acc:MGI:98240]	-1.15125676296386	11.2689635644608	54.2564572075368	1.7595798051458e-13	2.1681418879722e-11
ENSMUSG00000023905	17	Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a [Source:MGI Symbol;Acc:MGI:1351484]	1.05181946474799	5.53154791080088	54.1154267390888	1.89051165090484e-13	2.3092188835009e-11
ENSMUSG00000027955	3	Fam198b	family with sequence similarity 198, member B [Source:MGI Symbol;Acc:MGI:1915909]	-0.981292793256672	9.01029571175456	54.0170488179374	1.98757509930945e-13	2.40685063965516e-11
ENSMUSG00000031274	X	Col4a5	collagen, type IV, alpha 5 [Source:MGI Symbol;Acc:MGI:88456]	-1.38362766723233	4.92849305641361	53.9974953584523	2.00745339841543e-13	2.4101451185933e-11
ENSMUSG00000061462	11	Obscn	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:MGI Symbol;Acc:MGI:2681862]	2.58486949650231	3.51313934472013	53.9385094382032	2.06863259545327e-13	2.46254932782475e-11
ENSMUSG00000062694	6	Cav3	caveolin 3 [Source:MGI Symbol;Acc:MGI:107570]	2.5852843787764	3.59763876827333	53.8008915431231	2.21872019315142e-13	2.61902206329395e-11
ENSMUSG00000066058	4	Cldn19	claudin 19 [Source:MGI Symbol;Acc:MGI:3033992]	-0.973077595396597	9.95271427576534	53.6975732829847	2.33851931426423e-13	2.73743173395581e-11
ENSMUSG00000048040	X	Arxes2	adipocyte-related X-chromosome expressed sequence 2 [Source:MGI Symbol;Acc:MGI:1924226]	-1.42591998285281	5.96097696174565	53.6124019567552	2.4421289090551e-13	2.83508965169396e-11
ENSMUSG00000018648	11	Dusp14	dual specificity phosphatase 14 [Source:MGI Symbol;Acc:MGI:1927168]	-2.2224877530151	3.57158100606958	53.45971984587	2.63949684698037e-13	3.03909936143715e-11
ENSMUSG00000004319	8	Clcn3	chloride channel, voltage-sensitive 3 [Source:MGI Symbol;Acc:MGI:103555]	-0.955219760288753	6.79634275803834	53.3250372938995	2.82680612580342e-13	3.22830452432201e-11
ENSMUSG00000019820	10	Utrn	utrophin [Source:MGI Symbol;Acc:MGI:104631]	-1.07965233117001	9.18054588984458	53.2966137118195	2.86800508987774e-13	3.24894092721876e-11
ENSMUSG00000023927	17	Satb1	special AT-rich sequence binding protein 1 [Source:MGI Symbol;Acc:MGI:105084]	-0.962081872433203	5.96934178225514	52.8347912416902	3.62817219920917e-13	4.0771947905833e-11
ENSMUSG00000061086	11	Myl4	myosin, light polypeptide 4 [Source:MGI Symbol;Acc:MGI:97267]	2.05253459130484	5.20870252569316	52.4305828880287	4.4572829580135e-13	4.96916299295363e-11
ENSMUSG00000055775	11	Myh8	myosin, heavy polypeptide 8, skeletal muscle, perinatal [Source:MGI Symbol;Acc:MGI:1339712]	2.4268017270735	8.78276799357955	52.1351672473189	5.18087205040923e-13	5.73037084189751e-11
ENSMUSG00000027952	3	Pmvk	phosphomevalonate kinase [Source:MGI Symbol;Acc:MGI:1915853]	-1.0461614900051	6.12913313222203	52.0106896416333	5.5199311580701e-13	6.05769320136021e-11
ENSMUSG00000032500	9	Dclk3	doublecortin-like kinase 3 [Source:MGI Symbol;Acc:MGI:3039580]	-1.94274668379236	4.34829187692951	51.8720480570084	5.92377395813643e-13	6.45048471239864e-11
ENSMUSG00000020061	10	Mybpc1	myosin binding protein C, slow-type [Source:MGI Symbol;Acc:MGI:1336213]	2.27356145705969	5.77933419752806	51.7153177486046	6.41602296918551e-13	6.93275958831914e-11
